run_id,train_subset,arch,dropout_rate,seed,scheduler,parameters,patch_size,dimhead,depth,heads,mlp_dim,val/acc,val/au,val/eu,val/loss,val/tu,source_dir
0,50000,vit_small,0.5,1234,CosineAnnealingLR,11442192,16,512,6,8,512,0.5613999962806702,0.1348636448383331,0.9341293573379515,3.659141540527344,1.0689929723739624,2026-01-17_14-25-30
1,50000,vit_small,0.5,1234,CosineAnnealingLR,17361936,32,512,6,8,512,0.5116999745368958,0.2141477018594741,0.9730727672576904,3.307362794876098,1.1872204542160034,2026-01-17_14-25-30
2,50000,vit_small,0.5,1234,CosineAnnealingLR,17733648,16,512,6,16,512,0.5687999725341797,0.1305132806301117,0.855755090713501,3.626554965972901,0.9862683415412904,2026-01-17_14-25-30
3,50000,vit_small,0.5,1234,CosineAnnealingLR,23653392,32,512,6,16,512,0.5101000070571899,0.2122038900852203,0.9711337089538574,3.219502210617065,1.1833375692367554,2026-01-17_14-25-30
4,50000,vit_small,0.5,1234,CosineAnnealingLR,24025104,16,512,6,24,512,0.5738999843597412,0.1286818981170654,0.8080844283103943,3.696202039718628,0.9367663264274596,2026-01-17_14-25-30
5,50000,vit_small,0.5,1234,CosineAnnealingLR,29944848,32,512,6,24,512,0.5134000182151794,0.2096672058105468,0.9651405811309814,3.2747864723205566,1.1748077869415283,2026-01-17_14-25-30
6,50000,vit_small,0.5,1234,CosineAnnealingLR,20900886,16,512,12,8,512,0.576200008392334,0.1261377036571502,0.8443074226379395,3.650434017181397,0.9704450964927672,2026-01-17_14-25-30
7,50000,vit_small,0.5,1234,CosineAnnealingLR,26820630,32,512,12,8,512,0.5206999778747559,0.1619744300842285,0.9272072315216064,3.605238437652588,1.089181661605835,2026-01-17_14-25-30
8,50000,vit_small,0.5,1234,CosineAnnealingLR,33483798,16,512,12,16,512,0.5740000009536743,0.1245544627308845,0.7646792531013489,3.750377655029297,0.8892337083816528,2026-01-17_14-25-30
9,50000,vit_small,0.5,1234,CosineAnnealingLR,39403542,32,512,12,16,512,0.5245000123977661,0.1670137792825698,0.922555923461914,3.5633933544158936,1.0895696878433228,2026-01-17_14-25-30
10,50000,vit_small,0.5,1234,CosineAnnealingLR,46066710,16,512,12,24,512,0.5788999795913696,0.12558414041996,0.7203201651573181,3.7560760974884033,0.8459042906761169,2026-01-17_14-25-30
11,50000,vit_small,0.5,1234,CosineAnnealingLR,51986454,32,512,12,24,512,0.5329999923706055,0.1666793674230575,0.921238660812378,3.5693397521972656,1.087918043136597,2026-01-17_14-25-30
12,50000,vit_small,0.5,1234,CosineAnnealingLR,39818274,16,512,24,8,512,0.5785999894142151,0.1170625165104866,0.764273464679718,3.727424144744873,0.881335973739624,2026-01-17_14-25-30
13,50000,vit_small,0.5,1234,CosineAnnealingLR,45738018,32,512,24,8,512,0.5307000279426575,0.1870946586132049,0.8464318513870239,3.0996410846710205,1.0335265398025513,2026-01-17_14-25-30
0,50000,vit_small,0.5,1234,CosineAnnealingLR,9968016,8,512,6,8,512,0.6025999784469604,0.1283632963895797,0.8868913054466248,3.1631855964660645,1.0152546167373655,2026-01-19_09-45-36
1,50000,vit_small,0.5,1234,CosineAnnealingLR,16259472,8,512,6,16,512,0.6241999864578247,0.1192780807614326,0.8224263787269592,3.137467861175537,0.9417044520378112,2026-01-19_09-45-36
2,50000,vit_small,0.5,1234,CosineAnnealingLR,22550928,8,512,6,24,512,0.6305000185966492,0.1169674322009086,0.772513747215271,3.1729838848114014,0.8894811868667603,2026-01-19_09-45-36
3,50000,vit_small,0.5,1234,CosineAnnealingLR,19426710,8,512,12,8,512,0.6227999925613403,0.114653967320919,0.8029038310050964,3.163073778152466,0.9175577759742736,2026-01-19_09-45-36
4,50000,vit_small,0.5,1234,CosineAnnealingLR,32009622,8,512,12,16,512,0.6349999904632568,0.1089939996600151,0.7376382350921631,3.1518664360046387,0.8466322422027588,2026-01-19_09-45-36
5,50000,vit_small,0.5,1234,CosineAnnealingLR,44592534,8,512,12,24,512,0.632099986076355,0.1067617237567901,0.6985902786254883,3.1589274406433105,0.8053520321846008,2026-01-19_09-45-36
